location,site,exp,location,soil_moisture,pH,plot_Id_pair,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,mel_status,harvest_date,incub_period.days,incub_period.wks,incub_period.months,incub_period.years,mass_remaining ,mt.mo,notes
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_153,EM_forb,EM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_154,AM_grass,AM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_155,EM_forb,EM,Mel_Black,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_156,AM_grass,AM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_3,28, CCP2_157,EM_forb,EM,Mort,non-melanized,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,field0_4,31, CCP2_174,EM_forb,EM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,24.61538462,0.246153846,
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,field0_4,31, CCP2_175,AM_grass,AM,Ceno,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,25.78125,0.2578125,
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,field0_4,31, CCP2_183,AM_grass,AM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,53.44129555,0.534412955,
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,field0_4,31, CCP2_184,EM_forb,EM,Mel_Black,melanized ,8/29/17,11,1.571428571,0.366666667,0.030136986,56.2992126,0.562992126,
cedar creek,Prairie,CC_praire2,field_0,12.13333333,4.6605,field0_4,31, CCP2_179,AM_grass,AM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,40.16064257,0.401606426,
cedar creek,Prairie,CC_praire2,field_0,12.9,5.354,field0_4,31, CCP2_185,EM_forb,EM,Mort,non-melanized,8/29/17,11,1.571428571,0.366666667,0.030136986,56.2992126,0.562992126,
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_4,31, CCP2_187,AM_grass,AM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
cedar creek,Prairie,CC_praire2,field_0,NA,NA,field0_4,31, CCP2_188,EM_forb,EM,Ceno,melanized ,9/21/17,34,4.857142857,1.133333333,0.093150685,NA,NA,not recovered
